payment_id,merchant_id,customer_id,failure_id,attempt_id,recovered,amount_inr,payment_method,gateway,transaction_hour,day_of_week,is_weekend,failure_category,error_code,retryable,merchant_segment,industry,merchant_historical_tx_count,merchant_historical_failure_rate,merchant_historical_recovery_rate,gateway_historical_latency_ms,gateway_historical_success_rate,gateway_historical_error_rate,gateway_historical_incident_count,strategy,attempt_number,delay_minutes,predicted_recovery_probability,status,attempt_status,recovered_amount_inr,risk_amount_inr,resolved_at,merchant_historical_recovered_count,created_at,merchant_name
pay_100400,m_1004,cust_1010,fail_10010,att_10010,0,5208.53,Wallet,Razorpay,23,6,1,Insufficient Funds,INSUFFICIENT_FUNDS,True,Growth,E-commerce & Retail,4,25.0,75.0,159.3,97.84,2.16,0,UPI payment link,1,15,0.278,Failed,Failed,0.0,5208.53,,3.0,2026-02-22 23:00:00,CloudMart
pay_104881,m_1004,cust_1011,fail_10011,att_10011,0,1539.95,NetBanking,Razorpay,1,0,0,User Abandoned,BAD_REQUEST_ABANDONED,True,Growth,E-commerce & Retail,5,40.0,60.0,159.3,97.84,2.16,0,Email reminder,0,15,0.581,Failed,Pending,0.0,1539.95,,3.0,2026-02-23 01:00:00,CloudMart
pay_104502,m_1004,cust_1012,fail_10012,att_10012,0,2547.32,Card,HDFC Gateway,1,0,0,Gateway Error,GATEWAY_INTERNAL_ERROR,True,Growth,E-commerce & Retail,6,50.0,50.0,227.48,94.23,5.77,1,Smart gateway retry,2,15,0.641,Failed,Failed,0.0,2547.32,,3.0,2026-02-23 01:00:00,CloudMart
pay_101345,m_1002,cust_1013,fail_10013,att_10013,0,1173.32,Card,Razorpay,1,0,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Mid-Market,E-commerce & Retail,1,100.0,0.0,159.3,97.84,2.16,0,Alternate payment method,1,15,0.271,Failed,Failed,0.0,1173.32,,0.0,2026-02-23 01:00:00,SwiftPay Stores
pay_100809,m_1004,cust_1014,fail_10014,att_10014,0,2600.65,Wallet,Razorpay,3,0,0,Network Timeout,GATEWAY_TIMEOUT,True,Growth,E-commerce & Retail,7,57.14,42.86,159.3,97.84,2.16,0,Retry after 10 minutes,0,10,0.826,Failed,Pending,0.0,2600.65,,3.0,2026-02-23 03:00:00,CloudMart
pay_102172,m_1002,cust_1015,fail_10015,att_10015,0,6417.82,UPI,Razorpay,5,0,0,User Abandoned,BAD_REQUEST_ABANDONED,True,Mid-Market,E-commerce & Retail,2,100.0,0.0,159.3,97.84,2.16,0,Email reminder,0,15,0.284,Failed,Pending,0.0,6417.82,,0.0,2026-02-23 05:00:00,SwiftPay Stores
pay_100690,m_1000,cust_1016,fail_10016,att_10016,1,2689.77,NetBanking,Razorpay,5,0,0,User Abandoned,BAD_REQUEST_ABANDONED,True,Enterprise,E-commerce & Retail,0,0.0,0.0,159.3,97.84,2.16,0,Email reminder,0,15,0.565,Success,Recovered,2689.77,0.0,2026-02-24 02:08:00,0.0,2026-02-23 05:00:00,Apex Retail Pvt Ltd
pay_102519,m_1000,cust_1017,fail_10017,att_10017,0,8094.87,UPI,ICICI UPI,5,0,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,1,0.0,100.0,173.1,97.53,2.47,0,UPI payment link,2,15,0.361,Failed,Failed,0.0,8094.87,,1.0,2026-02-23 05:00:00,Apex Retail Pvt Ltd
pay_100160,m_1000,cust_1019,fail_10019,att_10019,1,4696.94,UPI,Razorpay,7,0,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,2,50.0,50.0,159.3,97.84,2.16,0,UPI payment link,0,15,0.286,Success,Recovered,4696.94,0.0,2026-02-24 03:35:00,1.0,2026-02-23 07:00:00,Apex Retail Pvt Ltd
pay_103620,m_1003,cust_1018,fail_10018,att_10018,1,4359.02,Card,Razorpay,7,0,0,Network Timeout,GATEWAY_TIMEOUT,True,SMB,E-commerce & Retail,1,100.0,0.0,159.3,97.84,2.16,0,Retry after 10 minutes,0,10,0.741,Success,Recovered,4359.02,0.0,2026-02-23 10:23:00,0.0,2026-02-23 07:00:00,UrbanNest
pay_101116,m_1004,cust_1020,fail_10020,att_10020,0,4167.03,UPI,Razorpay,9,0,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Growth,E-commerce & Retail,8,62.5,37.5,159.3,97.84,2.16,0,Alternate payment method,1,15,0.443,Failed,Failed,0.0,4167.03,,3.0,2026-02-23 09:00:00,CloudMart
pay_101055,m_1003,cust_1021,fail_10021,att_10021,0,11565.15,Card,Axis Wallet,10,0,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,SMB,E-commerce & Retail,2,50.0,50.0,163.48,98.3,1.7,0,UPI payment link,0,15,0.393,Failed,Pending,0.0,11565.15,,1.0,2026-02-23 10:00:00,UrbanNest
pay_101558,m_1003,cust_1022,fail_10022,att_10022,1,1485.56,Card,Razorpay,11,0,0,OTP Failed,OTP_AUTHENTICATION_FAILED,True,SMB,E-commerce & Retail,3,66.67,33.33,159.3,97.84,2.16,0,OTP reminder,1,15,0.471,Success,Recovered,1485.56,0.0,2026-02-24 10:08:00,1.0,2026-02-23 11:00:00,UrbanNest
pay_104621,m_1001,cust_1023,fail_10023,att_10023,0,1219.96,Card,SBI Card Gateway,12,0,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,4,50.0,50.0,211.58,94.83,5.17,1,UPI payment link,1,15,0.373,Failed,Failed,0.0,1219.96,,2.0,2026-02-23 12:00:00,NovaCart
pay_102955,m_1004,cust_1024,fail_10024,att_10024,0,1909.19,UPI,Razorpay,13,0,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Growth,E-commerce & Retail,9,66.67,33.33,159.3,97.84,2.16,0,Alternate payment method,1,15,0.299,Failed,Failed,0.0,1909.19,,3.0,2026-02-23 13:00:00,CloudMart
pay_101421,m_1002,cust_1025,fail_10025,att_10025,0,1931.41,UPI,SBI Card Gateway,13,0,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Mid-Market,E-commerce & Retail,3,100.0,0.0,211.58,94.83,5.17,1,Alternate payment method,3,15,0.377,Failed,Failed,0.0,1931.41,,0.0,2026-02-23 13:00:00,SwiftPay Stores
pay_103157,m_1000,cust_1026,fail_10026,att_10026,0,4073.05,Card,SBI Card Gateway,13,0,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Enterprise,E-commerce & Retail,3,33.33,66.67,211.58,94.83,5.17,1,Alternate payment method,0,15,0.421,Failed,Pending,0.0,4073.05,,2.0,2026-02-23 13:00:00,Apex Retail Pvt Ltd
pay_103174,m_1002,cust_1028,fail_10028,att_10028,0,3584.14,UPI,Razorpay,14,0,0,OTP Failed,OTP_AUTHENTICATION_FAILED,True,Mid-Market,E-commerce & Retail,4,100.0,0.0,159.3,97.84,2.16,0,OTP reminder,3,15,0.58,Failed,Failed,0.0,3584.14,,0.0,2026-02-23 14:00:00,SwiftPay Stores
pay_100510,m_1000,cust_1027,fail_10027,att_10027,1,2507.58,Card,Razorpay,14,0,0,Network Timeout,GATEWAY_TIMEOUT,True,Enterprise,E-commerce & Retail,4,50.0,50.0,159.3,97.84,2.16,0,Retry after 10 minutes,3,10,0.875,Success,Recovered,2507.58,0.0,2026-02-23 16:27:00,2.0,2026-02-23 14:00:00,Apex Retail Pvt Ltd
pay_104295,m_1002,cust_1029,fail_10029,att_10029,0,3112.08,NetBanking,Razorpay,15,0,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Mid-Market,E-commerce & Retail,5,100.0,0.0,159.3,97.84,2.16,0,Alternate payment method,1,15,0.298,Failed,Failed,0.0,3112.08,,0.0,2026-02-23 15:00:00,SwiftPay Stores
pay_103237,m_1003,cust_1030,fail_10030,att_10030,0,3388.63,Card,SBI Card Gateway,16,0,0,OTP Failed,OTP_AUTHENTICATION_FAILED,True,SMB,E-commerce & Retail,4,50.0,50.0,211.58,94.83,5.17,1,OTP reminder,1,15,0.757,Failed,Failed,0.0,3388.63,,2.0,2026-02-23 16:00:00,UrbanNest
pay_103723,m_1002,cust_1031,fail_10031,att_10031,0,598.41,Card,ICICI UPI,18,0,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Mid-Market,E-commerce & Retail,6,100.0,0.0,173.1,97.53,2.47,0,Alternate payment method,2,15,0.463,Failed,Failed,0.0,598.41,,0.0,2026-02-23 18:00:00,SwiftPay Stores
pay_102767,m_1000,cust_1032,fail_10032,att_10032,0,369.07,UPI,HDFC Gateway,18,0,0,User Abandoned,BAD_REQUEST_ABANDONED,True,Enterprise,E-commerce & Retail,5,40.0,60.0,227.48,94.23,5.77,1,Email reminder,1,15,0.552,Failed,Failed,0.0,369.07,,3.0,2026-02-23 18:00:00,Apex Retail Pvt Ltd
pay_101997,m_1002,cust_1033,fail_10033,att_10033,0,1710.68,Card,SBI Card Gateway,19,0,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Mid-Market,E-commerce & Retail,7,100.0,0.0,211.58,94.83,5.17,1,Alternate payment method,1,15,0.444,Failed,Failed,0.0,1710.68,,0.0,2026-02-23 19:00:00,SwiftPay Stores
pay_101625,m_1000,cust_1034,fail_10034,att_10034,1,1839.92,UPI,SBI Card Gateway,20,0,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,6,50.0,50.0,211.58,94.83,5.17,1,UPI payment link,2,15,0.388,Success,Recovered,1839.92,0.0,2026-02-24 02:34:00,3.0,2026-02-23 20:00:00,Apex Retail Pvt Ltd
pay_103278,m_1004,cust_1035,fail_10035,att_10035,0,2186.43,UPI,Razorpay,21,0,0,Gateway Error,GATEWAY_INTERNAL_ERROR,True,Growth,E-commerce & Retail,10,70.0,30.0,159.3,97.84,2.16,0,Smart gateway retry,2,15,0.716,Failed,Failed,0.0,2186.43,,3.0,2026-02-23 21:00:00,CloudMart
pay_104215,m_1002,cust_1036,fail_10036,att_10036,1,9099.94,UPI,Axis Wallet,22,0,0,Network Timeout,GATEWAY_TIMEOUT,True,Mid-Market,E-commerce & Retail,8,100.0,0.0,163.48,98.3,1.7,0,Retry after 10 minutes,2,10,0.884,Success,Recovered,9099.94,0.0,2026-02-24 21:32:00,0.0,2026-02-23 22:00:00,SwiftPay Stores
pay_100144,m_1003,cust_1037,fail_10037,att_10037,1,2865.41,Card,Razorpay,22,0,0,Network Timeout,GATEWAY_TIMEOUT,True,SMB,E-commerce & Retail,5,60.0,40.0,159.3,97.84,2.16,0,Retry after 10 minutes,0,10,0.941,Success,Recovered,2865.41,0.0,2026-02-24 15:02:00,2.0,2026-02-23 22:00:00,UrbanNest
pay_100355,m_1004,cust_1038,fail_10038,att_10038,0,7120.41,Card,Razorpay,23,0,0,Network Timeout,GATEWAY_TIMEOUT,True,Growth,E-commerce & Retail,11,72.73,27.27,159.3,97.84,2.16,0,Retry after 10 minutes,0,10,0.812,Failed,Pending,0.0,7120.41,,3.0,2026-02-23 23:00:00,CloudMart
pay_102616,m_1001,cust_1039,fail_10039,att_10039,0,5008.39,Card,Axis Wallet,0,1,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Enterprise,E-commerce & Retail,5,60.0,40.0,163.48,98.3,1.7,0,Alternate payment method,2,15,0.346,Failed,Failed,0.0,5008.39,,2.0,2026-02-24 00:00:00,NovaCart
pay_102259,m_1004,cust_1040,fail_10040,att_10040,1,3671.0,NetBanking,SBI Card Gateway,1,1,0,Network Timeout,GATEWAY_TIMEOUT,True,Growth,E-commerce & Retail,12,75.0,25.0,211.58,94.83,5.17,1,Retry after 10 minutes,2,10,0.828,Success,Recovered,3671.0,0.0,2026-02-24 14:23:00,3.0,2026-02-24 01:00:00,CloudMart
pay_102045,m_1004,cust_1041,fail_10041,att_10041,1,30268.65,Card,Axis Wallet,2,1,0,Network Timeout,GATEWAY_TIMEOUT,True,Growth,E-commerce & Retail,13,69.23,30.77,163.48,98.3,1.7,0,Retry after 10 minutes,2,10,0.904,Success,Recovered,30268.65,0.0,2026-02-24 22:59:00,4.0,2026-02-24 02:00:00,CloudMart
pay_101619,m_1004,cust_1042,fail_10042,att_10042,0,1270.44,UPI,ICICI UPI,2,1,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Growth,E-commerce & Retail,14,64.29,35.71,173.1,97.53,2.47,0,UPI payment link,3,15,0.356,Failed,Failed,0.0,1270.44,,5.0,2026-02-24 02:00:00,CloudMart
pay_104992,m_1000,cust_1043,fail_10043,att_10043,0,1273.52,UPI,SBI Card Gateway,3,1,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,7,42.86,57.14,211.58,94.83,5.17,1,UPI payment link,3,15,0.325,Failed,Failed,0.0,1273.52,,4.0,2026-02-24 03:00:00,Apex Retail Pvt Ltd
pay_104791,m_1004,cust_1044,fail_10044,att_10044,0,1938.5,NetBanking,SBI Card Gateway,4,1,0,Gateway Error,GATEWAY_INTERNAL_ERROR,True,Growth,E-commerce & Retail,15,66.67,33.33,211.58,94.83,5.17,1,Smart gateway retry,1,15,0.958,Failed,Failed,0.0,1938.5,,5.0,2026-02-24 04:00:00,CloudMart
pay_100346,m_1003,cust_1045,fail_10045,att_10045,0,1629.82,Card,Razorpay,4,1,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,SMB,E-commerce & Retail,6,50.0,50.0,159.3,97.84,2.16,0,Alternate payment method,3,15,0.134,Failed,Failed,0.0,1629.82,,3.0,2026-02-24 04:00:00,UrbanNest
pay_102754,m_1000,cust_1046,fail_10046,att_10046,1,2541.11,Wallet,Razorpay,6,1,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,8,50.0,50.0,159.3,97.84,2.16,0,UPI payment link,2,15,0.496,Success,Recovered,2541.11,0.0,2026-02-24 14:45:00,4.0,2026-02-24 06:00:00,Apex Retail Pvt Ltd
pay_104265,m_1001,cust_1047,fail_10047,att_10047,0,1438.07,Card,Axis Wallet,6,1,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,6,66.67,33.33,163.48,98.3,1.7,0,UPI payment link,1,15,0.337,Failed,Failed,0.0,1438.07,,2.0,2026-02-24 06:00:00,NovaCart
pay_104520,m_1002,cust_1052,fail_10052,att_10052,0,626.88,UPI,Razorpay,8,1,0,Network Timeout,GATEWAY_TIMEOUT,True,Mid-Market,E-commerce & Retail,9,88.89,11.11,159.3,97.84,2.16,0,Retry after 10 minutes,0,10,0.765,Failed,Pending,0.0,626.88,,1.0,2026-02-24 08:00:00,SwiftPay Stores
pay_104692,m_1004,cust_1051,fail_10051,att_10051,0,7847.53,Card,SBI Card Gateway,8,1,0,Network Timeout,GATEWAY_TIMEOUT,True,Growth,E-commerce & Retail,16,68.75,31.25,211.58,94.83,5.17,1,Retry after 10 minutes,2,10,0.663,Failed,Failed,0.0,7847.53,,5.0,2026-02-24 08:00:00,CloudMart
pay_103725,m_1003,cust_1048,fail_10048,att_10048,0,608.86,Wallet,SBI Card Gateway,8,1,0,Network Timeout,GATEWAY_TIMEOUT,True,SMB,E-commerce & Retail,7,57.14,42.86,211.58,94.83,5.17,1,Retry after 10 minutes,3,10,0.76,Failed,Failed,0.0,608.86,,3.0,2026-02-24 08:00:00,UrbanNest
pay_102375,m_1001,cust_1049,fail_10049,att_10049,0,2628.98,UPI,SBI Card Gateway,8,1,0,OTP Failed,OTP_AUTHENTICATION_FAILED,True,Enterprise,E-commerce & Retail,7,71.43,28.57,211.58,94.83,5.17,1,OTP reminder,3,15,0.735,Failed,Failed,0.0,2628.98,,2.0,2026-02-24 08:00:00,NovaCart
pay_101087,m_1002,cust_1050,fail_10050,att_10050,0,14366.92,Card,Razorpay,8,1,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Mid-Market,E-commerce & Retail,10,90.0,10.0,159.3,97.84,2.16,0,UPI payment link,2,15,0.483,Failed,Failed,0.0,14366.92,,1.0,2026-02-24 08:00:00,SwiftPay Stores
pay_103533,m_1002,cust_1053,fail_10053,att_10053,0,1646.35,Wallet,ICICI UPI,10,1,0,Gateway Error,GATEWAY_INTERNAL_ERROR,True,Mid-Market,E-commerce & Retail,11,90.91,9.09,173.1,97.53,2.47,0,Smart gateway retry,3,15,0.728,Failed,Failed,0.0,1646.35,,1.0,2026-02-24 10:00:00,SwiftPay Stores
pay_100264,m_1004,cust_1054,fail_10054,att_10054,0,16701.59,UPI,Razorpay,11,1,0,OTP Failed,OTP_AUTHENTICATION_FAILED,True,Growth,E-commerce & Retail,17,70.59,29.41,159.3,97.84,2.16,0,OTP reminder,1,15,0.465,Failed,Failed,0.0,16701.59,,5.0,2026-02-24 11:00:00,CloudMart
pay_103148,m_1000,cust_1055,fail_10055,att_10055,1,1832.15,Card,ICICI UPI,12,1,0,OTP Failed,OTP_AUTHENTICATION_FAILED,True,Enterprise,E-commerce & Retail,9,44.44,55.56,173.1,97.53,2.47,0,OTP reminder,1,15,0.451,Success,Recovered,1832.15,0.0,2026-02-25 00:04:00,5.0,2026-02-24 12:00:00,Apex Retail Pvt Ltd
pay_101081,m_1000,cust_1056,fail_10056,att_10056,0,9869.03,Card,SBI Card Gateway,13,1,0,OTP Failed,OTP_AUTHENTICATION_FAILED,True,Enterprise,E-commerce & Retail,10,40.0,60.0,211.58,94.83,5.17,1,OTP reminder,1,15,0.676,Failed,Failed,0.0,9869.03,,6.0,2026-02-24 13:00:00,Apex Retail Pvt Ltd
pay_102802,m_1002,cust_1057,fail_10057,att_10057,0,1866.0,UPI,Razorpay,13,1,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Mid-Market,E-commerce & Retail,12,91.67,8.33,159.3,97.84,2.16,0,UPI payment link,0,15,0.332,Failed,Pending,0.0,1866.0,,1.0,2026-02-24 13:00:00,SwiftPay Stores
pay_104717,m_1002,cust_1058,fail_10058,att_10058,0,4766.11,Card,Axis Wallet,14,1,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Mid-Market,E-commerce & Retail,13,92.31,7.69,163.48,98.3,1.7,0,Alternate payment method,1,15,0.311,Failed,Failed,0.0,4766.11,,1.0,2026-02-24 14:00:00,SwiftPay Stores
pay_101961,m_1000,cust_1059,fail_10059,att_10059,0,2035.2,UPI,SBI Card Gateway,16,1,0,User Abandoned,BAD_REQUEST_ABANDONED,True,Enterprise,E-commerce & Retail,11,45.45,54.55,211.58,94.83,5.17,1,Email reminder,2,15,0.446,Failed,Failed,0.0,2035.2,,6.0,2026-02-24 16:00:00,Apex Retail Pvt Ltd
pay_102652,m_1000,cust_1060,fail_10060,att_10060,0,1217.7,UPI,Razorpay,17,1,0,OTP Failed,OTP_AUTHENTICATION_FAILED,True,Enterprise,E-commerce & Retail,12,50.0,50.0,159.3,97.84,2.16,0,OTP reminder,0,15,0.456,Failed,Pending,0.0,1217.7,,6.0,2026-02-24 17:00:00,Apex Retail Pvt Ltd
pay_102038,m_1000,cust_1061,fail_10061,att_10061,0,5423.33,Card,Razorpay,18,1,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Enterprise,E-commerce & Retail,13,53.85,46.15,159.3,97.84,2.16,0,Alternate payment method,1,15,0.319,Failed,Failed,0.0,5423.33,,6.0,2026-02-24 18:00:00,Apex Retail Pvt Ltd
pay_104600,m_1001,cust_1062,fail_10062,att_10062,0,2998.32,Card,Razorpay,18,1,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,8,75.0,25.0,159.3,97.84,2.16,0,UPI payment link,0,15,0.363,Failed,Pending,0.0,2998.32,,2.0,2026-02-24 18:00:00,NovaCart
pay_101746,m_1004,cust_1063,fail_10063,att_10063,0,2574.85,UPI,Razorpay,18,1,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Growth,E-commerce & Retail,18,72.22,27.78,159.3,97.84,2.16,0,Alternate payment method,3,15,0.294,Failed,Failed,0.0,2574.85,,5.0,2026-02-24 18:00:00,CloudMart
pay_102378,m_1000,cust_1064,fail_10064,att_10064,0,915.66,NetBanking,SBI Card Gateway,19,1,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Enterprise,E-commerce & Retail,14,57.14,42.86,211.58,94.83,5.17,1,Alternate payment method,2,15,0.316,Failed,Failed,0.0,915.66,,6.0,2026-02-24 19:00:00,Apex Retail Pvt Ltd
pay_104101,m_1004,cust_1065,fail_10065,att_10065,0,1266.87,UPI,Razorpay,20,1,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Growth,E-commerce & Retail,19,73.68,26.32,159.3,97.84,2.16,0,UPI payment link,0,15,0.29,Failed,Pending,0.0,1266.87,,5.0,2026-02-24 20:00:00,CloudMart
pay_103977,m_1004,cust_1066,fail_10066,att_10066,0,8983.93,Wallet,ICICI UPI,21,1,0,Network Timeout,GATEWAY_TIMEOUT,True,Growth,E-commerce & Retail,20,75.0,25.0,173.1,97.53,2.47,0,Retry after 10 minutes,2,10,0.795,Failed,Failed,0.0,8983.93,,5.0,2026-02-24 21:00:00,CloudMart
pay_104773,m_1003,cust_1067,fail_10067,att_10067,1,2660.89,UPI,HDFC Gateway,22,1,0,Network Timeout,GATEWAY_TIMEOUT,True,SMB,E-commerce & Retail,8,62.5,37.5,227.48,94.23,5.77,1,Retry after 10 minutes,0,10,0.879,Success,Recovered,2660.89,0.0,2026-02-25 00:30:00,3.0,2026-02-24 22:00:00,UrbanNest
pay_104134,m_1003,cust_1068,fail_10068,att_10068,1,6026.37,Card,Razorpay,23,1,0,Gateway Error,GATEWAY_INTERNAL_ERROR,True,SMB,E-commerce & Retail,9,55.56,44.44,159.3,97.84,2.16,0,Smart gateway retry,3,15,0.859,Success,Recovered,6026.37,0.0,2026-02-25 02:14:00,4.0,2026-02-24 23:00:00,UrbanNest
pay_103411,m_1004,cust_1069,fail_10069,att_10069,0,3462.39,UPI,HDFC Gateway,0,2,0,Bank Declined,BANK_DECLINED_TRANSACTION,False,Growth,E-commerce & Retail,21,76.19,23.81,227.48,94.23,5.77,1,Alternate payment method,3,15,0.241,Failed,Failed,0.0,3462.39,,5.0,2026-02-25 00:00:00,CloudMart
pay_103370,m_1000,cust_1070,fail_10070,att_10070,1,1457.82,UPI,SBI Card Gateway,0,2,0,Network Timeout,GATEWAY_TIMEOUT,True,Enterprise,E-commerce & Retail,15,60.0,40.0,211.58,94.83,5.17,1,Retry after 10 minutes,0,10,0.75,Success,Recovered,1457.82,0.0,2026-02-25 01:43:00,6.0,2026-02-25 00:00:00,Apex Retail Pvt Ltd
pay_100771,m_1001,cust_1071,fail_10071,att_10071,0,4030.28,UPI,Razorpay,0,2,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,9,77.78,22.22,159.3,97.84,2.16,0,UPI payment link,1,15,0.312,Failed,Failed,0.0,4030.28,,2.0,2026-02-25 00:00:00,NovaCart
pay_104523,m_1000,cust_1072,fail_10072,att_10072,0,2474.62,NetBanking,Razorpay,0,2,0,User Abandoned,BAD_REQUEST_ABANDONED,True,Enterprise,E-commerce & Retail,16,56.25,43.75,159.3,97.84,2.16,0,Email reminder,1,15,0.383,Failed,Failed,0.0,2474.62,,7.0,2026-02-25 00:00:00,Apex Retail Pvt Ltd
pay_102034,m_1001,cust_1073,fail_10073,att_10073,0,1467.66,UPI,Razorpay,2,2,0,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,10,80.0,20.0,159.3,97.84,2.16,0,UPI payment link,1,15,0.335,Failed,Failed,0.0,1467.66,,2.0,2026-02-25 02:00:00,NovaCart
