payment_id,merchant_id,customer_id,created_at,payment_method,gateway,amount_inr,status
pay_102616,m_1001,cust_1039,2026-02-24 00:00:00,Card,Axis Wallet,5008.39,Failed
pay_102259,m_1004,cust_1040,2026-02-24 01:00:00,NetBanking,SBI Card Gateway,3671.0,Success
pay_102045,m_1004,cust_1041,2026-02-24 02:00:00,Card,Axis Wallet,30268.65,Success
pay_101619,m_1004,cust_1042,2026-02-24 02:00:00,UPI,ICICI UPI,1270.44,Failed
pay_104992,m_1000,cust_1043,2026-02-24 03:00:00,UPI,SBI Card Gateway,1273.52,Failed
pay_104791,m_1004,cust_1044,2026-02-24 04:00:00,NetBanking,SBI Card Gateway,1938.5,Failed
pay_100346,m_1003,cust_1045,2026-02-24 04:00:00,Card,Razorpay,1629.82,Failed
pay_102754,m_1000,cust_1046,2026-02-24 06:00:00,Wallet,Razorpay,2541.11,Success
pay_104265,m_1001,cust_1047,2026-02-24 06:00:00,Card,Axis Wallet,1438.07,Failed
pay_103725,m_1003,cust_1048,2026-02-24 08:00:00,Wallet,SBI Card Gateway,608.86,Failed
pay_102375,m_1001,cust_1049,2026-02-24 08:00:00,UPI,SBI Card Gateway,2628.98,Failed
pay_101087,m_1002,cust_1050,2026-02-24 08:00:00,Card,Razorpay,14366.92,Failed
pay_104692,m_1004,cust_1051,2026-02-24 08:00:00,Card,SBI Card Gateway,7847.53,Failed
pay_104520,m_1002,cust_1052,2026-02-24 08:00:00,UPI,Razorpay,626.88,Failed
pay_103533,m_1002,cust_1053,2026-02-24 10:00:00,Wallet,ICICI UPI,1646.35,Failed
pay_100264,m_1004,cust_1054,2026-02-24 11:00:00,UPI,Razorpay,16701.59,Failed
pay_103148,m_1000,cust_1055,2026-02-24 12:00:00,Card,ICICI UPI,1832.15,Success
pay_101081,m_1000,cust_1056,2026-02-24 13:00:00,Card,SBI Card Gateway,9869.03,Failed
pay_102802,m_1002,cust_1057,2026-02-24 13:00:00,UPI,Razorpay,1866.0,Failed
pay_104717,m_1002,cust_1058,2026-02-24 14:00:00,Card,Axis Wallet,4766.11,Failed
pay_101961,m_1000,cust_1059,2026-02-24 16:00:00,UPI,SBI Card Gateway,2035.2,Failed
pay_102652,m_1000,cust_1060,2026-02-24 17:00:00,UPI,Razorpay,1217.7,Failed
pay_102038,m_1000,cust_1061,2026-02-24 18:00:00,Card,Razorpay,5423.33,Failed
pay_104600,m_1001,cust_1062,2026-02-24 18:00:00,Card,Razorpay,2998.32,Failed
pay_101746,m_1004,cust_1063,2026-02-24 18:00:00,UPI,Razorpay,2574.85,Failed
pay_102378,m_1000,cust_1064,2026-02-24 19:00:00,NetBanking,SBI Card Gateway,915.66,Failed
pay_104101,m_1004,cust_1065,2026-02-24 20:00:00,UPI,Razorpay,1266.87,Failed
pay_103977,m_1004,cust_1066,2026-02-24 21:00:00,Wallet,ICICI UPI,8983.93,Failed
pay_104773,m_1003,cust_1067,2026-02-24 22:00:00,UPI,HDFC Gateway,2660.89,Success
pay_104134,m_1003,cust_1068,2026-02-24 23:00:00,Card,Razorpay,6026.37,Success
pay_103411,m_1004,cust_1069,2026-02-25 00:00:00,UPI,HDFC Gateway,3462.39,Failed
pay_103370,m_1000,cust_1070,2026-02-25 00:00:00,UPI,SBI Card Gateway,1457.82,Success
pay_100771,m_1001,cust_1071,2026-02-25 00:00:00,UPI,Razorpay,4030.28,Failed
pay_104523,m_1000,cust_1072,2026-02-25 00:00:00,NetBanking,Razorpay,2474.62,Failed
pay_102034,m_1001,cust_1073,2026-02-25 02:00:00,UPI,Razorpay,1467.66,Failed
pay_104651,m_1000,cust_1074,2026-02-25 03:00:00,UPI,Razorpay,2275.46,Failed
pay_103218,m_1004,cust_1075,2026-02-25 03:00:00,Card,Razorpay,6263.8,Success
pay_104962,m_1003,cust_1076,2026-02-25 04:00:00,UPI,Axis Wallet,4376.46,Failed
pay_101245,m_1003,cust_1077,2026-02-25 05:00:00,Card,Razorpay,766.76,Success
pay_103745,m_1003,cust_1078,2026-02-25 05:00:00,NetBanking,Axis Wallet,1874.64,Failed
pay_104122,m_1001,cust_1079,2026-02-25 06:00:00,Card,Axis Wallet,6767.98,Failed
pay_103778,m_1004,cust_1080,2026-02-25 06:00:00,UPI,Razorpay,1672.77,Failed
pay_103747,m_1004,cust_1081,2026-02-25 07:00:00,Card,Razorpay,2581.43,Failed
pay_101202,m_1003,cust_1082,2026-02-25 08:00:00,Card,Razorpay,1394.3,Success
pay_103592,m_1003,cust_1083,2026-02-25 08:00:00,Card,Razorpay,1173.72,Success
pay_101569,m_1000,cust_1084,2026-02-25 09:00:00,Card,Razorpay,2072.5,Success
pay_101227,m_1003,cust_1085,2026-02-25 09:00:00,Card,ICICI UPI,469.65,Failed
pay_103784,m_1001,cust_1086,2026-02-25 09:00:00,NetBanking,Razorpay,10154.71,Success
pay_101456,m_1000,cust_1087,2026-02-25 09:00:00,UPI,ICICI UPI,3272.66,Failed
pay_103360,m_1002,cust_1088,2026-02-25 09:00:00,UPI,HDFC Gateway,3772.23,Success
pay_101827,m_1001,cust_1089,2026-02-25 09:00:00,UPI,Razorpay,1265.23,Failed
pay_100554,m_1002,cust_1090,2026-02-25 10:00:00,NetBanking,SBI Card Gateway,2457.3,Failed
pay_103403,m_1004,cust_1091,2026-02-25 11:00:00,Card,Razorpay,4072.75,Success
pay_101392,m_1003,cust_1092,2026-02-25 12:00:00,Card,Razorpay,1354.58,Failed
pay_101675,m_1000,cust_1093,2026-02-25 14:00:00,UPI,Axis Wallet,1547.25,Success
pay_101706,m_1003,cust_1094,2026-02-25 14:00:00,Card,Razorpay,5221.41,Failed
pay_104088,m_1000,cust_1095,2026-02-25 15:00:00,Card,Razorpay,1558.79,Success
pay_103269,m_1000,cust_1096,2026-02-25 16:00:00,NetBanking,SBI Card Gateway,2508.87,Failed
pay_100140,m_1000,cust_1097,2026-02-25 17:00:00,UPI,HDFC Gateway,2150.05,Failed
pay_101829,m_1000,cust_1098,2026-02-25 19:00:00,UPI,SBI Card Gateway,1423.17,Failed
pay_102689,m_1003,cust_1099,2026-02-25 20:00:00,Card,Razorpay,677.69,Success
pay_102554,m_1000,cust_1100,2026-02-25 21:00:00,Wallet,Razorpay,4097.65,Failed
pay_101197,m_1002,cust_1101,2026-02-25 21:00:00,UPI,Razorpay,1126.24,Failed
pay_102973,m_1001,cust_1102,2026-02-25 23:00:00,NetBanking,ICICI UPI,2551.47,Success
pay_102229,m_1000,cust_1103,2026-02-26 01:00:00,Card,ICICI UPI,748.2,Failed
pay_104089,m_1002,cust_1104,2026-02-26 01:00:00,UPI,Razorpay,1108.86,Failed
pay_101380,m_1000,cust_1105,2026-02-26 03:00:00,Card,Axis Wallet,2574.84,Failed
pay_104252,m_1004,cust_1106,2026-02-26 04:00:00,Card,HDFC Gateway,704.3,Success
pay_100893,m_1004,cust_1107,2026-02-26 04:00:00,Card,SBI Card Gateway,9524.43,Failed
pay_104076,m_1001,cust_1108,2026-02-26 05:00:00,UPI,Razorpay,10122.59,Failed
pay_100913,m_1001,cust_1109,2026-02-26 05:00:00,Card,SBI Card Gateway,5221.14,Failed
pay_103425,m_1000,cust_1110,2026-02-26 05:00:00,UPI,Razorpay,4322.64,Success
pay_100850,m_1000,cust_1111,2026-02-26 05:00:00,Card,Razorpay,720.54,Failed
pay_100593,m_1001,cust_1112,2026-02-26 07:00:00,Card,Razorpay,809.43,Failed
pay_101745,m_1001,cust_1113,2026-02-26 08:00:00,Wallet,HDFC Gateway,3709.61,Failed
pay_103198,m_1001,cust_1114,2026-02-26 09:00:00,UPI,ICICI UPI,1101.03,Success
pay_104316,m_1003,cust_1115,2026-02-26 10:00:00,Card,HDFC Gateway,1387.19,Failed
pay_102626,m_1000,cust_1116,2026-02-26 10:00:00,Card,Razorpay,12741.27,Failed
pay_102535,m_1004,cust_1117,2026-02-26 11:00:00,Wallet,ICICI UPI,1039.55,Failed
pay_104113,m_1001,cust_1118,2026-02-26 13:00:00,UPI,Razorpay,2976.17,Success
pay_102169,m_1004,cust_1119,2026-02-26 13:00:00,Card,Razorpay,1385.65,Failed
pay_101249,m_1004,cust_1120,2026-02-26 14:00:00,Card,ICICI UPI,13871.09,Success
pay_101474,m_1001,cust_1121,2026-02-26 17:00:00,UPI,HDFC Gateway,1683.54,Failed
pay_102879,m_1004,cust_1122,2026-02-26 17:00:00,UPI,Razorpay,1622.82,Failed
pay_102269,m_1000,cust_1123,2026-02-26 19:00:00,UPI,SBI Card Gateway,3245.78,Failed
pay_101648,m_1002,cust_1124,2026-02-26 19:00:00,UPI,ICICI UPI,1954.75,Success
pay_104834,m_1001,cust_1125,2026-02-26 19:00:00,NetBanking,ICICI UPI,4730.68,Failed
pay_104153,m_1000,cust_1126,2026-02-26 20:00:00,UPI,HDFC Gateway,17340.24,Success
pay_104920,m_1001,cust_1127,2026-02-26 20:00:00,Card,Razorpay,543.32,Success
pay_102131,m_1001,cust_1128,2026-02-26 22:00:00,UPI,Razorpay,6857.57,Success
pay_103788,m_1000,cust_1129,2026-02-26 22:00:00,UPI,Axis Wallet,2752.59,Failed
pay_102871,m_1004,cust_1130,2026-02-26 23:00:00,UPI,Axis Wallet,2345.58,Success
pay_102823,m_1002,cust_1131,2026-02-26 23:00:00,Card,ICICI UPI,10999.19,Failed
pay_103684,m_1002,cust_1132,2026-02-27 00:00:00,UPI,Axis Wallet,21391.02,Success
pay_100011,m_1003,cust_1133,2026-02-27 00:00:00,Card,Razorpay,4724.61,Failed
pay_102387,m_1000,cust_1134,2026-02-27 00:00:00,Card,SBI Card Gateway,223.57,Failed
pay_101796,m_1004,cust_1135,2026-02-27 00:00:00,Card,HDFC Gateway,806.66,Failed
pay_103354,m_1000,cust_1136,2026-02-27 02:00:00,NetBanking,Razorpay,3239.56,Success
pay_100324,m_1004,cust_1137,2026-02-27 02:00:00,UPI,Axis Wallet,3528.77,Success
pay_104823,m_1003,cust_1138,2026-02-27 04:00:00,Wallet,ICICI UPI,1972.51,Failed
pay_102749,m_1000,cust_1139,2026-02-27 05:00:00,UPI,Razorpay,2631.18,Failed
pay_104136,m_1001,cust_1140,2026-02-27 07:00:00,Card,ICICI UPI,6637.09,Failed
pay_100946,m_1003,cust_1141,2026-02-27 09:00:00,Wallet,Razorpay,4702.21,Failed
pay_102962,m_1004,cust_1142,2026-02-27 10:00:00,NetBanking,Razorpay,1605.29,Success
pay_100440,m_1002,cust_1143,2026-02-27 11:00:00,UPI,Razorpay,9147.62,Failed
pay_103515,m_1004,cust_1144,2026-02-27 14:00:00,NetBanking,SBI Card Gateway,2709.62,Failed
pay_104581,m_1001,cust_1145,2026-02-27 15:00:00,UPI,Razorpay,3337.37,Failed
pay_102839,m_1003,cust_1146,2026-02-27 16:00:00,Wallet,SBI Card Gateway,1733.87,Failed
pay_100403,m_1002,cust_1147,2026-02-27 16:00:00,Card,SBI Card Gateway,833.32,Failed
pay_103510,m_1000,cust_1148,2026-02-27 18:00:00,UPI,HDFC Gateway,2164.76,Failed
pay_100958,m_1001,cust_1149,2026-02-27 18:00:00,Card,Razorpay,1829.0,Failed
pay_104324,m_1002,cust_1150,2026-02-27 19:00:00,Card,Axis Wallet,1147.51,Success
pay_104792,m_1002,cust_1151,2026-02-27 19:00:00,NetBanking,Axis Wallet,12939.05,Success
pay_104135,m_1004,cust_1152,2026-02-27 19:00:00,Card,ICICI UPI,2489.6,Failed
pay_101954,m_1002,cust_1153,2026-02-27 20:00:00,NetBanking,HDFC Gateway,1825.46,Success
pay_102541,m_1000,cust_1154,2026-02-27 20:00:00,Card,Razorpay,2372.52,Failed
pay_103911,m_1000,cust_1155,2026-02-27 21:00:00,UPI,Razorpay,1148.4,Success
pay_102610,m_1001,cust_1156,2026-02-27 21:00:00,Card,Razorpay,3159.16,Success
pay_100045,m_1002,cust_1157,2026-02-27 21:00:00,Card,ICICI UPI,5569.36,Failed
pay_101232,m_1001,cust_1158,2026-02-27 23:00:00,UPI,Razorpay,2666.27,Failed
pay_102588,m_1002,cust_1159,2026-02-27 23:00:00,Card,HDFC Gateway,842.08,Failed
pay_103907,m_1003,cust_1160,2026-02-27 23:00:00,Card,Razorpay,4782.42,Failed
pay_103948,m_1004,cust_1161,2026-02-28 00:00:00,Wallet,HDFC Gateway,3896.74,Failed
pay_104359,m_1002,cust_1162,2026-02-28 01:00:00,Card,HDFC Gateway,1675.25,Failed
pay_101225,m_1004,cust_1163,2026-02-28 01:00:00,UPI,Razorpay,4372.06,Failed
pay_103282,m_1000,cust_1164,2026-02-28 02:00:00,Wallet,Axis Wallet,4544.97,Failed
pay_103943,m_1000,cust_1165,2026-02-28 02:00:00,UPI,HDFC Gateway,5449.24,Failed
pay_102578,m_1004,cust_1166,2026-02-28 03:00:00,UPI,HDFC Gateway,2683.37,Failed
pay_100354,m_1002,cust_1167,2026-02-28 03:00:00,Card,Razorpay,5093.68,Success
pay_100416,m_1002,cust_1168,2026-02-28 03:00:00,Card,Razorpay,2308.25,Failed
pay_100207,m_1002,cust_1169,2026-02-28 04:00:00,UPI,ICICI UPI,1455.72,Failed
pay_102805,m_1003,cust_1170,2026-02-28 05:00:00,UPI,Axis Wallet,4006.6,Failed
pay_102598,m_1001,cust_1171,2026-02-28 07:00:00,Card,Razorpay,195.07,Failed
pay_100796,m_1003,cust_1172,2026-02-28 07:00:00,UPI,Razorpay,2962.58,Failed
pay_103662,m_1002,cust_1173,2026-02-28 08:00:00,Wallet,HDFC Gateway,11520.13,Failed
pay_100860,m_1003,cust_1174,2026-02-28 08:00:00,UPI,Razorpay,4242.32,Failed
pay_101566,m_1000,cust_1175,2026-02-28 08:00:00,Card,Razorpay,2146.37,Failed
pay_104363,m_1000,cust_1176,2026-02-28 10:00:00,Card,Razorpay,1039.93,Failed
pay_100063,m_1000,cust_1177,2026-02-28 11:00:00,UPI,Razorpay,3540.85,Failed
pay_100608,m_1000,cust_1178,2026-02-28 13:00:00,Wallet,Razorpay,14627.77,Failed
pay_104760,m_1004,cust_1179,2026-02-28 13:00:00,UPI,ICICI UPI,6269.52,Success
pay_103688,m_1003,cust_1180,2026-02-28 14:00:00,UPI,HDFC Gateway,1890.85,Failed
pay_104986,m_1002,cust_1181,2026-02-28 16:00:00,NetBanking,ICICI UPI,1093.45,Failed
pay_100465,m_1001,cust_1182,2026-02-28 16:00:00,NetBanking,Razorpay,533.34,Success
pay_104509,m_1003,cust_1183,2026-02-28 17:00:00,Wallet,SBI Card Gateway,812.05,Failed
pay_102836,m_1000,cust_1184,2026-02-28 20:00:00,Wallet,Razorpay,2035.59,Failed
pay_102667,m_1002,cust_1185,2026-02-28 20:00:00,Card,Razorpay,3205.16,Success
pay_104356,m_1002,cust_1186,2026-02-28 21:00:00,UPI,Razorpay,1727.91,Failed
pay_103213,m_1001,cust_1187,2026-03-01 00:00:00,UPI,Razorpay,3616.89,Failed
pay_102813,m_1002,cust_1188,2026-03-01 00:00:00,UPI,Razorpay,1292.49,Failed
pay_102669,m_1001,cust_1189,2026-03-01 04:00:00,NetBanking,SBI Card Gateway,9915.38,Success
pay_101209,m_1003,cust_1190,2026-03-01 05:00:00,UPI,Razorpay,7615.95,Success
pay_101242,m_1004,cust_1191,2026-03-01 05:00:00,Card,ICICI UPI,2885.55,Failed
pay_100336,m_1002,cust_1192,2026-03-01 05:00:00,Card,HDFC Gateway,3757.51,Failed
pay_100852,m_1001,cust_1193,2026-03-01 06:00:00,Card,ICICI UPI,1707.99,Success
pay_101368,m_1002,cust_1194,2026-03-01 06:00:00,Card,Razorpay,8087.42,Success
pay_102512,m_1001,cust_1195,2026-03-01 08:00:00,UPI,HDFC Gateway,3093.48,Success
pay_100502,m_1003,cust_1196,2026-03-01 08:00:00,UPI,Razorpay,1824.63,Failed
pay_102142,m_1003,cust_1197,2026-03-01 09:00:00,NetBanking,HDFC Gateway,4300.31,Success
pay_101376,m_1002,cust_1198,2026-03-01 09:00:00,NetBanking,Razorpay,221.44,Success
pay_102676,m_1004,cust_1199,2026-03-01 10:00:00,UPI,ICICI UPI,1763.65,Failed
pay_103663,m_1000,cust_1200,2026-03-01 10:00:00,Card,SBI Card Gateway,9483.87,Failed
pay_102362,m_1001,cust_1201,2026-03-01 11:00:00,UPI,Razorpay,16046.04,Success
pay_100199,m_1002,cust_1202,2026-03-01 11:00:00,NetBanking,HDFC Gateway,3047.37,Failed
pay_100998,m_1003,cust_1203,2026-03-01 12:00:00,Card,SBI Card Gateway,1025.41,Success
pay_101699,m_1000,cust_1204,2026-03-01 13:00:00,NetBanking,Axis Wallet,3367.94,Failed
pay_101222,m_1003,cust_1205,2026-03-01 13:00:00,UPI,HDFC Gateway,906.51,Success
pay_100750,m_1004,cust_1206,2026-03-01 14:00:00,UPI,Razorpay,1340.92,Failed
pay_103382,m_1000,cust_1207,2026-03-01 15:00:00,UPI,Razorpay,1000.15,Failed
pay_102730,m_1002,cust_1208,2026-03-01 15:00:00,Wallet,Razorpay,9383.66,Failed
pay_103634,m_1004,cust_1209,2026-03-01 15:00:00,NetBanking,ICICI UPI,684.09,Success
pay_104936,m_1003,cust_1210,2026-03-01 16:00:00,Card,Razorpay,6070.57,Failed
pay_102116,m_1002,cust_1211,2026-03-01 17:00:00,UPI,Razorpay,560.45,Failed
pay_100648,m_1002,cust_1212,2026-03-01 17:00:00,UPI,HDFC Gateway,3229.89,Failed
pay_103003,m_1001,cust_1213,2026-03-01 17:00:00,Card,Razorpay,573.96,Success
pay_103752,m_1002,cust_1214,2026-03-01 17:00:00,NetBanking,Axis Wallet,1354.48,Failed
pay_103397,m_1001,cust_1215,2026-03-01 17:00:00,UPI,Razorpay,6101.2,Failed
pay_103210,m_1004,cust_1216,2026-03-01 18:00:00,Card,Razorpay,3997.42,Failed
pay_100450,m_1004,cust_1217,2026-03-01 18:00:00,Card,Razorpay,5349.02,Failed
pay_101938,m_1003,cust_1218,2026-03-01 20:00:00,UPI,ICICI UPI,3591.94,Success
pay_100682,m_1002,cust_1219,2026-03-01 20:00:00,NetBanking,Razorpay,787.58,Failed
pay_104094,m_1004,cust_1220,2026-03-01 20:00:00,UPI,Razorpay,722.96,Failed
pay_101447,m_1004,cust_1221,2026-03-01 20:00:00,UPI,Razorpay,2581.67,Failed
pay_100194,m_1002,cust_1222,2026-03-01 21:00:00,UPI,HDFC Gateway,2715.07,Failed
pay_103838,m_1002,cust_1223,2026-03-01 21:00:00,Card,Razorpay,1439.45,Success
pay_101809,m_1004,cust_1224,2026-03-01 22:00:00,NetBanking,Razorpay,3604.61,Failed
pay_101375,m_1002,cust_1225,2026-03-01 23:00:00,UPI,ICICI UPI,2822.99,Failed
pay_104981,m_1001,cust_1226,2026-03-01 23:00:00,Card,HDFC Gateway,1193.01,Success
pay_100514,m_1002,cust_1227,2026-03-01 23:00:00,Wallet,Razorpay,9040.26,Failed
pay_100683,m_1001,cust_1228,2026-03-02 00:00:00,NetBanking,ICICI UPI,886.61,Failed
pay_103644,m_1002,cust_1229,2026-03-02 00:00:00,UPI,HDFC Gateway,1796.41,Failed
pay_102769,m_1002,cust_1230,2026-03-02 01:00:00,UPI,HDFC Gateway,1593.9,Success
pay_100273,m_1002,cust_1231,2026-03-02 02:00:00,UPI,SBI Card Gateway,11977.61,Failed
pay_101053,m_1001,cust_1232,2026-03-02 02:00:00,Card,SBI Card Gateway,34723.02,Success
pay_103487,m_1001,cust_1233,2026-03-02 02:00:00,UPI,Razorpay,2145.1,Failed
pay_101082,m_1000,cust_1234,2026-03-02 04:00:00,UPI,SBI Card Gateway,3849.67,Failed
pay_104871,m_1001,cust_1235,2026-03-02 08:00:00,Wallet,HDFC Gateway,664.31,Success
pay_102542,m_1001,cust_1236,2026-03-02 10:00:00,UPI,Razorpay,713.63,Failed
pay_103035,m_1001,cust_1237,2026-03-02 12:00:00,Card,Razorpay,10874.33,Success
pay_102388,m_1000,cust_1238,2026-03-02 14:00:00,NetBanking,HDFC Gateway,3093.6,Success
pay_100447,m_1001,cust_1239,2026-03-02 14:00:00,UPI,Razorpay,1563.19,Success
pay_101439,m_1004,cust_1240,2026-03-02 15:00:00,NetBanking,Razorpay,2004.87,Failed
pay_104598,m_1000,cust_1241,2026-03-02 15:00:00,Card,HDFC Gateway,822.07,Failed
pay_101783,m_1002,cust_1242,2026-03-02 17:00:00,Card,Razorpay,1170.11,Failed
pay_102164,m_1001,cust_1243,2026-03-02 19:00:00,UPI,SBI Card Gateway,2566.72,Success
pay_100292,m_1002,cust_1244,2026-03-02 22:00:00,NetBanking,SBI Card Gateway,8949.43,Failed
pay_101268,m_1004,cust_1245,2026-03-03 01:00:00,UPI,ICICI UPI,1834.63,Failed
pay_101933,m_1001,cust_1246,2026-03-03 01:00:00,Card,HDFC Gateway,4209.08,Failed
pay_103839,m_1004,cust_1247,2026-03-03 01:00:00,Card,HDFC Gateway,896.23,Success
pay_104642,m_1004,cust_1248,2026-03-03 02:00:00,Card,Razorpay,417.7,Failed
pay_102386,m_1003,cust_1249,2026-03-03 02:00:00,UPI,SBI Card Gateway,3458.17,Failed
pay_104005,m_1003,cust_1000,2026-03-03 02:00:00,NetBanking,ICICI UPI,3589.35,Failed
pay_103574,m_1000,cust_1001,2026-03-03 02:00:00,Card,HDFC Gateway,6732.96,Failed
pay_102121,m_1001,cust_1002,2026-03-03 02:00:00,Card,Razorpay,6286.93,Failed
pay_101831,m_1004,cust_1003,2026-03-03 02:00:00,UPI,SBI Card Gateway,980.54,Success
pay_100339,m_1002,cust_1004,2026-03-03 02:00:00,Card,HDFC Gateway,4378.76,Failed
pay_100670,m_1002,cust_1005,2026-03-03 04:00:00,UPI,ICICI UPI,1676.95,Failed
pay_104198,m_1002,cust_1006,2026-03-03 04:00:00,Wallet,SBI Card Gateway,6061.28,Failed
pay_101929,m_1003,cust_1007,2026-03-03 05:00:00,NetBanking,Razorpay,11022.55,Success
pay_103901,m_1004,cust_1008,2026-03-03 06:00:00,Card,Razorpay,1890.88,Success
pay_101294,m_1004,cust_1009,2026-03-03 07:00:00,Card,Razorpay,6548.31,Success
pay_100775,m_1001,cust_1010,2026-03-03 09:00:00,UPI,ICICI UPI,3461.54,Failed
pay_102027,m_1004,cust_1011,2026-03-03 14:00:00,Card,Razorpay,1446.45,Failed
pay_101420,m_1003,cust_1012,2026-03-03 15:00:00,Card,Axis Wallet,8085.92,Success
pay_104467,m_1000,cust_1013,2026-03-03 15:00:00,UPI,Axis Wallet,3450.14,Success
pay_101726,m_1002,cust_1014,2026-03-03 16:00:00,Card,Axis Wallet,1262.24,Failed
pay_100964,m_1002,cust_1015,2026-03-03 18:00:00,Card,Razorpay,1594.25,Failed
pay_103185,m_1000,cust_1016,2026-03-03 18:00:00,UPI,Razorpay,1647.33,Success
pay_104601,m_1000,cust_1017,2026-03-03 19:00:00,NetBanking,Axis Wallet,4045.15,Failed
pay_100762,m_1002,cust_1018,2026-03-03 19:00:00,UPI,Razorpay,665.43,Success
pay_100639,m_1002,cust_1019,2026-03-03 19:00:00,UPI,Razorpay,1571.13,Failed
pay_102907,m_1004,cust_1020,2026-03-03 19:00:00,Card,SBI Card Gateway,384.94,Failed
pay_102527,m_1003,cust_1021,2026-03-03 20:00:00,UPI,ICICI UPI,362.79,Failed
pay_100570,m_1004,cust_1022,2026-03-03 20:00:00,Card,Razorpay,2516.08,Failed
pay_104686,m_1004,cust_1023,2026-03-03 22:00:00,UPI,Razorpay,4068.75,Success
pay_103440,m_1000,cust_1024,2026-03-03 23:00:00,NetBanking,Axis Wallet,1208.16,Failed
pay_100382,m_1000,cust_1025,2026-03-04 00:00:00,UPI,ICICI UPI,4273.43,Failed
pay_100948,m_1001,cust_1026,2026-03-04 00:00:00,Card,Razorpay,2182.0,Success
pay_102053,m_1004,cust_1027,2026-03-04 01:00:00,Card,Razorpay,1793.59,Failed
