attempt_id,payment_id,strategy,attempt_number,delay_minutes,attempt_status,predicted_recovery_probability,recovered_amount_inr,risk_amount_inr,resolved_at
att_10025,pay_101421,Alternate payment method,3,15,Failed,0.377,0.0,1931.41,
att_10026,pay_103157,Alternate payment method,0,15,Pending,0.421,0.0,4073.05,
att_10027,pay_100510,Retry after 10 minutes,3,10,Recovered,0.875,2507.58,0.0,2026-02-23 16:27:00
att_10028,pay_103174,OTP reminder,3,15,Failed,0.58,0.0,3584.14,
att_10029,pay_104295,Alternate payment method,1,15,Failed,0.298,0.0,3112.08,
att_10030,pay_103237,OTP reminder,1,15,Failed,0.757,0.0,3388.63,
att_10031,pay_103723,Alternate payment method,2,15,Failed,0.463,0.0,598.41,
att_10032,pay_102767,Email reminder,1,15,Failed,0.552,0.0,369.07,
att_10033,pay_101997,Alternate payment method,1,15,Failed,0.444,0.0,1710.68,
att_10034,pay_101625,UPI payment link,2,15,Recovered,0.388,1839.92,0.0,2026-02-24 02:34:00
att_10035,pay_103278,Smart gateway retry,2,15,Failed,0.716,0.0,2186.43,
att_10036,pay_104215,Retry after 10 minutes,2,10,Recovered,0.884,9099.94,0.0,2026-02-24 21:32:00
att_10037,pay_100144,Retry after 10 minutes,0,10,Recovered,0.941,2865.41,0.0,2026-02-24 15:02:00
att_10038,pay_100355,Retry after 10 minutes,0,10,Pending,0.812,0.0,7120.41,
att_10039,pay_102616,Alternate payment method,2,15,Failed,0.346,0.0,5008.39,
att_10040,pay_102259,Retry after 10 minutes,2,10,Recovered,0.828,3671.0,0.0,2026-02-24 14:23:00
att_10041,pay_102045,Retry after 10 minutes,2,10,Recovered,0.904,30268.65,0.0,2026-02-24 22:59:00
att_10042,pay_101619,UPI payment link,3,15,Failed,0.356,0.0,1270.44,
att_10043,pay_104992,UPI payment link,3,15,Failed,0.325,0.0,1273.52,
att_10044,pay_104791,Smart gateway retry,1,15,Failed,0.958,0.0,1938.5,
att_10045,pay_100346,Alternate payment method,3,15,Failed,0.134,0.0,1629.82,
att_10046,pay_102754,UPI payment link,2,15,Recovered,0.496,2541.11,0.0,2026-02-24 14:45:00
att_10047,pay_104265,UPI payment link,1,15,Failed,0.337,0.0,1438.07,
att_10048,pay_103725,Retry after 10 minutes,3,10,Failed,0.76,0.0,608.86,
att_10049,pay_102375,OTP reminder,3,15,Failed,0.735,0.0,2628.98,
att_10050,pay_101087,UPI payment link,2,15,Failed,0.483,0.0,14366.92,
att_10051,pay_104692,Retry after 10 minutes,2,10,Failed,0.663,0.0,7847.53,
att_10052,pay_104520,Retry after 10 minutes,0,10,Pending,0.765,0.0,626.88,
att_10053,pay_103533,Smart gateway retry,3,15,Failed,0.728,0.0,1646.35,
att_10054,pay_100264,OTP reminder,1,15,Failed,0.465,0.0,16701.59,
att_10055,pay_103148,OTP reminder,1,15,Recovered,0.451,1832.15,0.0,2026-02-25 00:04:00
att_10056,pay_101081,OTP reminder,1,15,Failed,0.676,0.0,9869.03,
att_10057,pay_102802,UPI payment link,0,15,Pending,0.332,0.0,1866.0,
att_10058,pay_104717,Alternate payment method,1,15,Failed,0.311,0.0,4766.11,
att_10059,pay_101961,Email reminder,2,15,Failed,0.446,0.0,2035.2,
att_10060,pay_102652,OTP reminder,0,15,Pending,0.456,0.0,1217.7,
att_10061,pay_102038,Alternate payment method,1,15,Failed,0.319,0.0,5423.33,
att_10062,pay_104600,UPI payment link,0,15,Pending,0.363,0.0,2998.32,
att_10063,pay_101746,Alternate payment method,3,15,Failed,0.294,0.0,2574.85,
att_10064,pay_102378,Alternate payment method,2,15,Failed,0.316,0.0,915.66,
att_10065,pay_104101,UPI payment link,0,15,Pending,0.29,0.0,1266.87,
att_10066,pay_103977,Retry after 10 minutes,2,10,Failed,0.795,0.0,8983.93,
att_10067,pay_104773,Retry after 10 minutes,0,10,Recovered,0.879,2660.89,0.0,2026-02-25 00:30:00
att_10068,pay_104134,Smart gateway retry,3,15,Recovered,0.859,6026.37,0.0,2026-02-25 02:14:00
att_10069,pay_103411,Alternate payment method,3,15,Failed,0.241,0.0,3462.39,
att_10070,pay_103370,Retry after 10 minutes,0,10,Recovered,0.75,1457.82,0.0,2026-02-25 01:43:00
att_10071,pay_100771,UPI payment link,1,15,Failed,0.312,0.0,4030.28,
att_10072,pay_104523,Email reminder,1,15,Failed,0.383,0.0,2474.62,
att_10073,pay_102034,UPI payment link,1,15,Failed,0.335,0.0,1467.66,
att_10074,pay_104651,Smart gateway retry,0,15,Pending,0.742,0.0,2275.46,
att_10075,pay_103218,Email reminder,1,15,Recovered,0.457,6263.8,0.0,2026-02-25 09:24:00
att_10076,pay_104962,OTP reminder,1,15,Failed,0.591,0.0,4376.46,
att_10077,pay_101245,Smart gateway retry,2,15,Recovered,0.7,766.76,0.0,2026-02-25 09:11:00
att_10078,pay_103745,OTP reminder,2,15,Failed,0.587,0.0,1874.64,
att_10079,pay_104122,UPI payment link,3,15,Failed,0.519,0.0,6767.98,
att_10080,pay_103778,Retry after 10 minutes,0,10,Pending,0.738,0.0,1672.77,
att_10081,pay_103747,Retry after 10 minutes,2,10,Failed,0.775,0.0,2581.43,
att_10082,pay_101202,Smart gateway retry,3,15,Recovered,0.802,1394.3,0.0,2026-02-25 18:05:00
att_10083,pay_103592,Retry after 10 minutes,2,10,Recovered,0.797,1173.72,0.0,2026-02-25 14:51:00
att_10084,pay_101569,Smart gateway retry,1,15,Recovered,0.768,2072.5,0.0,2026-02-25 20:14:00
att_10085,pay_101227,UPI payment link,0,15,Pending,0.424,0.0,469.65,
att_10086,pay_103784,Alternate payment method,1,15,Recovered,0.306,10154.71,0.0,2026-02-25 09:42:00
att_10087,pay_101456,OTP reminder,1,15,Failed,0.611,0.0,3272.66,
att_10088,pay_103360,UPI payment link,1,15,Recovered,0.46,3772.23,0.0,2026-02-25 18:32:00
att_10089,pay_101827,Retry after 10 minutes,1,10,Failed,0.915,0.0,1265.23,
att_10090,pay_100554,Retry after 10 minutes,0,10,Pending,0.811,0.0,2457.3,
att_10091,pay_103403,Email reminder,3,15,Recovered,0.456,4072.75,0.0,2026-02-26 00:35:00
att_10092,pay_101392,Retry after 10 minutes,1,10,Failed,0.787,0.0,1354.58,
att_10093,pay_101675,Smart gateway retry,2,15,Recovered,0.685,1547.25,0.0,2026-02-25 16:46:00
att_10094,pay_101706,OTP reminder,2,15,Failed,0.659,0.0,5221.41,
att_10095,pay_104088,Retry after 10 minutes,3,10,Recovered,0.649,1558.79,0.0,2026-02-25 20:05:00
att_10096,pay_103269,Email reminder,0,15,Pending,0.483,0.0,2508.87,
att_10097,pay_100140,UPI payment link,2,15,Failed,0.366,0.0,2150.05,
att_10098,pay_101829,Alternate payment method,3,15,Failed,0.365,0.0,1423.17,
att_10099,pay_102689,OTP reminder,2,15,Recovered,0.54,677.69,0.0,2026-02-26 01:05:00
att_10100,pay_102554,Retry after 10 minutes,2,10,Failed,0.901,0.0,4097.65,
att_10101,pay_101197,Smart gateway retry,0,15,Pending,0.863,0.0,1126.24,
att_10102,pay_102973,Retry after 10 minutes,1,10,Recovered,0.824,2551.47,0.0,2026-02-26 01:56:00
att_10103,pay_102229,Email reminder,3,15,Failed,0.414,0.0,748.2,
att_10104,pay_104089,Retry after 10 minutes,0,10,Pending,0.906,0.0,1108.86,
att_10105,pay_101380,OTP reminder,1,15,Failed,0.607,0.0,2574.84,
att_10106,pay_104252,Alternate payment method,0,15,Recovered,0.273,704.3,0.0,2026-02-26 23:30:00
att_10107,pay_100893,Smart gateway retry,1,15,Failed,0.835,0.0,9524.43,
att_10108,pay_104076,OTP reminder,3,15,Failed,0.561,0.0,10122.59,
att_10109,pay_100913,Smart gateway retry,2,15,Failed,0.904,0.0,5221.14,
att_10110,pay_103425,UPI payment link,0,15,Recovered,0.336,4322.64,0.0,2026-02-26 12:38:00
att_10111,pay_100850,UPI payment link,1,15,Failed,0.348,0.0,720.54,
att_10112,pay_100593,Email reminder,3,15,Failed,0.639,0.0,809.43,
att_10113,pay_101745,Email reminder,1,15,Failed,0.496,0.0,3709.61,
att_10114,pay_103198,Smart gateway retry,3,15,Recovered,0.695,1101.03,0.0,2026-02-27 00:15:00
att_10115,pay_104316,Smart gateway retry,0,15,Pending,0.864,0.0,1387.19,
att_10116,pay_102626,UPI payment link,2,15,Failed,0.432,0.0,12741.27,
att_10117,pay_102535,Alternate payment method,0,15,Pending,0.315,0.0,1039.55,
att_10118,pay_104113,Retry after 10 minutes,2,10,Recovered,0.765,2976.17,0.0,2026-02-26 15:56:00
att_10119,pay_102169,UPI payment link,2,15,Failed,0.443,0.0,1385.65,
att_10120,pay_101249,Smart gateway retry,3,15,Recovered,0.858,13871.09,0.0,2026-02-27 06:54:00
att_10121,pay_101474,Alternate payment method,0,15,Pending,0.364,0.0,1683.54,
att_10122,pay_102879,Alternate payment method,3,15,Failed,0.378,0.0,1622.82,
att_10123,pay_102269,UPI payment link,3,15,Failed,0.383,0.0,3245.78,
att_10124,pay_101648,Alternate payment method,0,15,Recovered,0.447,1954.75,0.0,2026-02-27 05:03:00
att_10125,pay_104834,Retry after 10 minutes,1,10,Failed,0.769,0.0,4730.68,
att_10126,pay_104153,Smart gateway retry,3,15,Recovered,0.824,17340.24,0.0,2026-02-27 00:08:00
att_10127,pay_104920,Retry after 10 minutes,3,10,Recovered,0.788,543.32,0.0,2026-02-27 04:37:00
att_10128,pay_102131,Alternate payment method,2,15,Recovered,0.463,6857.57,0.0,2026-02-27 20:02:00
att_10129,pay_103788,Retry after 10 minutes,1,10,Failed,0.822,0.0,2752.59,
att_10130,pay_102871,Alternate payment method,3,15,Recovered,0.409,2345.58,0.0,2026-02-27 10:36:00
att_10131,pay_102823,Email reminder,3,15,Failed,0.444,0.0,10999.19,
att_10132,pay_103684,OTP reminder,2,15,Recovered,0.751,21391.02,0.0,2026-02-27 15:18:00
att_10133,pay_100011,Smart gateway retry,3,15,Failed,0.621,0.0,4724.61,
att_10134,pay_102387,OTP reminder,0,15,Pending,0.587,0.0,223.57,
att_10135,pay_101796,Smart gateway retry,1,15,Failed,0.784,0.0,806.66,
att_10136,pay_103354,Smart gateway retry,3,15,Recovered,0.98,3239.56,0.0,2026-02-27 06:51:00
att_10137,pay_100324,Email reminder,2,15,Recovered,0.428,3528.77,0.0,2026-02-27 21:58:00
att_10138,pay_104823,Retry after 10 minutes,0,10,Pending,0.83,0.0,1972.51,
att_10139,pay_102749,Retry after 10 minutes,1,10,Failed,0.832,0.0,2631.18,
att_10140,pay_104136,Retry after 10 minutes,1,10,Failed,0.844,0.0,6637.09,
att_10141,pay_100946,Alternate payment method,1,15,Failed,0.329,0.0,4702.21,
att_10142,pay_102962,UPI payment link,0,15,Recovered,0.585,1605.29,0.0,2026-02-27 12:03:00
att_10143,pay_100440,Smart gateway retry,0,15,Pending,0.762,0.0,9147.62,
att_10144,pay_103515,Retry after 10 minutes,2,10,Failed,0.779,0.0,2709.62,
att_10145,pay_104581,Retry after 10 minutes,3,10,Failed,0.762,0.0,3337.37,
att_10146,pay_102839,Alternate payment method,2,15,Failed,0.117,0.0,1733.87,
att_10147,pay_100403,UPI payment link,0,15,Pending,0.321,0.0,833.32,
att_10148,pay_103510,Smart gateway retry,0,15,Pending,0.91,0.0,2164.76,
att_10149,pay_100958,UPI payment link,1,15,Failed,0.46,0.0,1829.0,
att_10150,pay_104324,UPI payment link,2,15,Recovered,0.218,1147.51,0.0,2026-02-28 04:14:00
att_10151,pay_104792,Email reminder,3,15,Recovered,0.427,12939.05,0.0,2026-02-28 13:08:00
att_10152,pay_104135,Alternate payment method,1,15,Failed,0.282,0.0,2489.6,
att_10153,pay_101954,Retry after 10 minutes,0,10,Recovered,0.818,1825.46,0.0,2026-02-28 10:10:00
att_10154,pay_102541,Smart gateway retry,2,15,Failed,0.876,0.0,2372.52,
att_10155,pay_103911,Email reminder,3,15,Recovered,0.389,1148.4,0.0,2026-02-28 09:09:00
att_10156,pay_102610,OTP reminder,2,15,Recovered,0.63,3159.16,0.0,2026-02-28 03:14:00
att_10157,pay_100045,Alternate payment method,0,15,Pending,0.257,0.0,5569.36,
att_10158,pay_101232,UPI payment link,2,15,Failed,0.377,0.0,2666.27,
att_10159,pay_102588,UPI payment link,2,15,Failed,0.282,0.0,842.08,
att_10160,pay_103907,Smart gateway retry,3,15,Failed,0.932,0.0,4782.42,
att_10161,pay_103948,Retry after 10 minutes,0,10,Pending,0.916,0.0,3896.74,
att_10162,pay_104359,Retry after 10 minutes,1,10,Failed,0.661,0.0,1675.25,
att_10163,pay_101225,Retry after 10 minutes,0,10,Pending,0.842,0.0,4372.06,
att_10164,pay_103282,OTP reminder,0,15,Pending,0.572,0.0,4544.97,
att_10165,pay_103943,UPI payment link,1,15,Failed,0.458,0.0,5449.24,
att_10166,pay_102578,Retry after 10 minutes,3,10,Failed,0.847,0.0,2683.37,
att_10167,pay_100354,Retry after 10 minutes,3,10,Recovered,0.692,5093.68,0.0,2026-02-28 11:48:00
att_10168,pay_100416,Smart gateway retry,2,15,Failed,0.808,0.0,2308.25,
att_10169,pay_100207,Alternate payment method,3,15,Failed,0.204,0.0,1455.72,
att_10170,pay_102805,UPI payment link,3,15,Failed,0.438,0.0,4006.6,
att_10171,pay_102598,Alternate payment method,2,15,Failed,0.396,0.0,195.07,
att_10172,pay_100796,OTP reminder,3,15,Failed,0.602,0.0,2962.58,
att_10173,pay_103662,OTP reminder,3,15,Failed,0.683,0.0,11520.13,
att_10174,pay_100860,UPI payment link,3,15,Failed,0.383,0.0,4242.32,
att_10175,pay_101566,Alternate payment method,2,15,Failed,0.31,0.0,2146.37,
att_10176,pay_104363,Retry after 10 minutes,3,10,Failed,0.695,0.0,1039.93,
att_10177,pay_100063,Retry after 10 minutes,3,10,Failed,0.894,0.0,3540.85,
att_10178,pay_100608,Retry after 10 minutes,0,10,Pending,0.87,0.0,14627.77,
att_10179,pay_104760,Retry after 10 minutes,2,10,Recovered,0.883,6269.52,0.0,2026-03-01 11:53:00
att_10180,pay_103688,Email reminder,3,15,Failed,0.337,0.0,1890.85,
att_10181,pay_104986,OTP reminder,0,15,Pending,0.803,0.0,1093.45,
att_10182,pay_100465,OTP reminder,3,15,Recovered,0.699,533.34,0.0,2026-03-01 06:39:00
att_10183,pay_104509,Alternate payment method,3,15,Failed,0.335,0.0,812.05,
att_10184,pay_102836,Email reminder,3,15,Failed,0.457,0.0,2035.59,
att_10185,pay_102667,Smart gateway retry,2,15,Recovered,0.602,3205.16,0.0,2026-02-28 23:51:00
att_10186,pay_104356,Email reminder,1,15,Failed,0.446,0.0,1727.91,
att_10187,pay_103213,UPI payment link,2,15,Failed,0.145,0.0,3616.89,
att_10188,pay_102813,OTP reminder,0,15,Pending,0.66,0.0,1292.49,
att_10189,pay_102669,Alternate payment method,2,15,Recovered,0.161,9915.38,0.0,2026-03-02 00:42:00
att_10190,pay_101209,Retry after 10 minutes,2,10,Recovered,0.866,7615.95,0.0,2026-03-01 23:22:00
att_10191,pay_101242,Retry after 10 minutes,3,10,Failed,0.682,0.0,2885.55,
att_10192,pay_100336,Alternate payment method,1,15,Failed,0.466,0.0,3757.51,
att_10193,pay_100852,OTP reminder,1,15,Recovered,0.702,1707.99,0.0,2026-03-02 01:18:00
att_10194,pay_101368,Alternate payment method,0,15,Recovered,0.407,8087.42,0.0,2026-03-01 11:20:00
att_10195,pay_102512,UPI payment link,3,15,Recovered,0.487,3093.48,0.0,2026-03-01 18:19:00
att_10196,pay_100502,Retry after 10 minutes,1,10,Failed,0.865,0.0,1824.63,
att_10197,pay_102142,Email reminder,0,15,Recovered,0.381,4300.31,0.0,2026-03-01 09:25:00
att_10198,pay_101376,Email reminder,3,15,Recovered,0.436,221.44,0.0,2026-03-02 05:28:00
att_10199,pay_102676,UPI payment link,1,15,Failed,0.326,0.0,1763.65,
att_10200,pay_103663,Alternate payment method,2,15,Failed,0.279,0.0,9483.87,
att_10201,pay_102362,UPI payment link,1,15,Recovered,0.348,16046.04,0.0,2026-03-01 21:57:00
att_10202,pay_100199,OTP reminder,3,15,Failed,0.494,0.0,3047.37,
att_10203,pay_100998,Smart gateway retry,3,15,Recovered,0.764,1025.41,0.0,2026-03-01 20:27:00
att_10204,pay_101699,Alternate payment method,1,15,Failed,0.425,0.0,3367.94,
att_10205,pay_101222,Retry after 10 minutes,3,10,Recovered,0.79,906.51,0.0,2026-03-02 00:16:00
att_10206,pay_100750,Alternate payment method,0,15,Pending,0.335,0.0,1340.92,
att_10207,pay_103382,UPI payment link,3,15,Failed,0.27,0.0,1000.15,
att_10208,pay_102730,Retry after 10 minutes,0,10,Pending,0.858,0.0,9383.66,
att_10209,pay_103634,UPI payment link,3,15,Recovered,0.453,684.09,0.0,2026-03-01 16:48:00
att_10210,pay_104936,OTP reminder,3,15,Failed,0.847,0.0,6070.57,
att_10211,pay_102116,Alternate payment method,1,15,Failed,0.398,0.0,560.45,
att_10212,pay_100648,Alternate payment method,1,15,Failed,0.496,0.0,3229.89,
att_10213,pay_103003,Retry after 10 minutes,3,10,Recovered,0.783,573.96,0.0,2026-03-02 12:24:00
att_10214,pay_103752,Email reminder,3,15,Failed,0.36,0.0,1354.48,
att_10215,pay_103397,OTP reminder,1,15,Failed,0.572,0.0,6101.2,
att_10216,pay_103210,UPI payment link,3,15,Failed,0.307,0.0,3997.42,
att_10217,pay_100450,Smart gateway retry,2,15,Failed,0.763,0.0,5349.02,
att_10218,pay_101938,Retry after 10 minutes,1,10,Recovered,0.772,3591.94,0.0,2026-03-02 06:33:00
att_10219,pay_100682,Alternate payment method,0,15,Pending,0.333,0.0,787.58,
att_10220,pay_104094,UPI payment link,3,15,Failed,0.41,0.0,722.96,
att_10221,pay_101447,Alternate payment method,3,15,Failed,0.339,0.0,2581.67,
att_10222,pay_100194,Alternate payment method,0,15,Pending,0.355,0.0,2715.07,
att_10223,pay_103838,Alternate payment method,0,15,Recovered,0.288,1439.45,0.0,2026-03-01 21:58:00
att_10224,pay_101809,UPI payment link,1,15,Failed,0.234,0.0,3604.61,
att_10225,pay_101375,OTP reminder,2,15,Failed,0.705,0.0,2822.99,
att_10226,pay_104981,Alternate payment method,2,15,Recovered,0.483,1193.01,0.0,2026-03-02 13:24:00
att_10227,pay_100514,Smart gateway retry,0,15,Pending,0.648,0.0,9040.26,
att_10228,pay_100683,Smart gateway retry,2,15,Failed,0.748,0.0,886.61,
att_10229,pay_103644,Alternate payment method,1,15,Failed,0.411,0.0,1796.41,
att_10230,pay_102769,OTP reminder,1,15,Recovered,0.555,1593.9,0.0,2026-03-02 02:53:00
att_10231,pay_100273,Retry after 10 minutes,3,10,Failed,0.856,0.0,11977.61,
att_10232,pay_101053,Alternate payment method,3,15,Recovered,0.334,34723.02,0.0,2026-03-02 12:32:00
att_10233,pay_103487,OTP reminder,1,15,Failed,0.742,0.0,2145.1,
att_10234,pay_101082,UPI payment link,2,15,Failed,0.526,0.0,3849.67,
att_10235,pay_104871,OTP reminder,2,15,Recovered,0.465,664.31,0.0,2026-03-02 22:35:00
att_10236,pay_102542,Alternate payment method,1,15,Failed,0.392,0.0,713.63,
att_10237,pay_103035,Retry after 10 minutes,2,10,Recovered,0.926,10874.33,0.0,2026-03-02 17:07:00
att_10238,pay_102388,Retry after 10 minutes,0,10,Recovered,0.781,3093.6,0.0,2026-03-03 07:09:00
att_10239,pay_100447,Retry after 10 minutes,2,10,Recovered,0.719,1563.19,0.0,2026-03-03 00:13:00
att_10240,pay_101439,Alternate payment method,0,15,Pending,0.272,0.0,2004.87,
att_10241,pay_104598,Alternate payment method,0,15,Pending,0.325,0.0,822.07,
att_10242,pay_101783,Smart gateway retry,0,15,Pending,0.857,0.0,1170.11,
att_10243,pay_102164,UPI payment link,0,15,Recovered,0.486,2566.72,0.0,2026-03-03 17:05:00
att_10244,pay_100292,UPI payment link,0,15,Pending,0.418,0.0,8949.43,
att_10245,pay_101268,Email reminder,1,15,Failed,0.393,0.0,1834.63,
att_10246,pay_101933,UPI payment link,2,15,Failed,0.406,0.0,4209.08,
att_10247,pay_103839,Retry after 10 minutes,2,10,Recovered,0.915,896.23,0.0,2026-03-03 08:43:00
att_10248,pay_104642,UPI payment link,1,15,Failed,0.333,0.0,417.7,
att_10249,pay_102386,Alternate payment method,0,15,Pending,0.254,0.0,3458.17,
att_10250,pay_104005,UPI payment link,3,15,Failed,0.34,0.0,3589.35,
att_10251,pay_103574,Retry after 10 minutes,2,10,Failed,0.835,0.0,6732.96,
att_10252,pay_102121,Smart gateway retry,3,15,Failed,0.852,0.0,6286.93,
att_10253,pay_101831,Email reminder,2,15,Recovered,0.492,980.54,0.0,2026-03-03 19:57:00
att_10254,pay_100339,Retry after 10 minutes,1,10,Failed,0.697,0.0,4378.76,
att_10255,pay_100670,OTP reminder,0,15,Pending,0.585,0.0,1676.95,
att_10256,pay_104198,Retry after 10 minutes,2,10,Failed,0.98,0.0,6061.28,
att_10257,pay_101929,OTP reminder,3,15,Recovered,0.585,11022.55,0.0,2026-03-03 13:27:00
att_10258,pay_103901,Retry after 10 minutes,1,10,Recovered,0.792,1890.88,0.0,2026-03-03 23:51:00
att_10259,pay_101294,OTP reminder,1,15,Recovered,0.622,6548.31,0.0,2026-03-04 03:33:00
att_10260,pay_100775,Smart gateway retry,1,15,Failed,0.825,0.0,3461.54,
att_10261,pay_102027,UPI payment link,0,15,Pending,0.456,0.0,1446.45,
att_10262,pay_101420,Email reminder,3,15,Recovered,0.648,8085.92,0.0,2026-03-03 23:51:00
att_10263,pay_104467,Email reminder,3,15,Recovered,0.44,3450.14,0.0,2026-03-03 21:57:00
att_10264,pay_101726,Smart gateway retry,2,15,Failed,0.746,0.0,1262.24,
att_10265,pay_100964,OTP reminder,1,15,Failed,0.574,0.0,1594.25,
att_10266,pay_103185,UPI payment link,2,15,Recovered,0.458,1647.33,0.0,2026-03-03 19:33:00
att_10267,pay_104601,Retry after 10 minutes,0,10,Pending,0.931,0.0,4045.15,
att_10268,pay_100762,UPI payment link,2,15,Recovered,0.393,665.43,0.0,2026-03-04 18:52:00
att_10269,pay_100639,Alternate payment method,0,15,Pending,0.409,0.0,1571.13,
att_10270,pay_102907,UPI payment link,1,15,Failed,0.25,0.0,384.94,
att_10271,pay_102527,Alternate payment method,3,15,Failed,0.387,0.0,362.79,
att_10272,pay_100570,Alternate payment method,1,15,Failed,0.219,0.0,2516.08,
att_10273,pay_104686,Smart gateway retry,2,15,Recovered,0.753,4068.75,0.0,2026-03-04 06:06:00
att_10274,pay_103440,UPI payment link,3,15,Failed,0.467,0.0,1208.16,
att_10275,pay_100382,Retry after 10 minutes,2,10,Failed,0.652,0.0,4273.43,
att_10276,pay_100948,Retry after 10 minutes,1,10,Recovered,0.776,2182.0,0.0,2026-03-04 18:47:00
att_10277,pay_102053,UPI payment link,3,15,Failed,0.429,0.0,1793.59,
att_10278,pay_104437,Retry after 10 minutes,2,10,Failed,0.832,0.0,3046.81,
att_10279,pay_102743,Smart gateway retry,1,15,Failed,0.815,0.0,2173.51,
att_10280,pay_103960,Retry after 10 minutes,2,10,Recovered,0.98,30553.06,0.0,2026-03-05 03:10:00
att_10281,pay_104910,Alternate payment method,0,15,Pending,0.342,0.0,3274.57,
att_10282,pay_102396,OTP reminder,2,15,Recovered,0.598,1192.8,0.0,2026-03-04 20:35:00
att_10283,pay_102220,UPI payment link,1,15,Failed,0.571,0.0,2468.42,
att_10284,pay_100693,Smart gateway retry,2,15,Failed,0.806,0.0,1619.54,
att_10285,pay_100925,Email reminder,2,15,Recovered,0.444,2566.63,0.0,2026-03-04 10:32:00
att_10286,pay_102917,Retry after 10 minutes,1,10,Failed,0.745,0.0,12291.58,
att_10287,pay_102619,Alternate payment method,0,15,Recovered,0.42,1300.11,0.0,2026-03-04 12:55:00
att_10288,pay_104121,Retry after 10 minutes,0,10,Pending,0.876,0.0,2513.87,
att_10289,pay_103461,Email reminder,1,15,Failed,0.45,0.0,3656.11,
att_10290,pay_104722,UPI payment link,1,15,Failed,0.245,0.0,8627.24,
att_10291,pay_104236,Alternate payment method,2,15,Failed,0.278,0.0,5910.88,
att_10292,pay_104964,OTP reminder,1,15,Failed,0.676,0.0,2401.91,
att_10293,pay_103704,Retry after 10 minutes,1,10,Recovered,0.689,1653.21,0.0,2026-03-05 05:09:00
att_10294,pay_104959,Retry after 10 minutes,2,10,Recovered,0.845,1517.57,0.0,2026-03-05 11:35:00
att_10295,pay_103309,Alternate payment method,2,15,Failed,0.36,0.0,2879.2,
att_10296,pay_102827,Retry after 10 minutes,1,10,Failed,0.863,0.0,3091.92,
att_10297,pay_101680,UPI payment link,1,15,Failed,0.162,0.0,7828.37,
att_10298,pay_103955,UPI payment link,3,15,Failed,0.663,0.0,1382.6,
att_10299,pay_104073,Smart gateway retry,2,15,Failed,0.913,0.0,3150.16,
att_10300,pay_101873,Smart gateway retry,2,15,Failed,0.798,0.0,511.31,
att_10301,pay_101836,Alternate payment method,2,15,Failed,0.301,0.0,4581.4,
att_10302,pay_103687,UPI payment link,0,15,Pending,0.226,0.0,1635.95,
att_10303,pay_100935,OTP reminder,0,15,Pending,0.509,0.0,5227.07,
att_10304,pay_101108,Alternate payment method,2,15,Failed,0.385,0.0,4724.75,
att_10305,pay_100080,OTP reminder,3,15,Recovered,0.568,6278.66,0.0,2026-03-05 13:14:00
